1/269: Actual=1, Pred=1, OK=True
71/269: Actual=2, Pred=1, OK=False
72/269: Actual=2, Pred=1, OK=False
73/269: Actual=1, Pred=1, OK=True
74/269: Actual=1, Pred=1, OK=True
75/269: Actual=1, Pred=1, OK=True
76/269: Actual=1, Pred=1, OK=True
77/269: Actual=1, Pred=1, OK=True
78/269: Actual=2, Pred=1, OK=False
79/269: Actual=1, Pred=1, OK=True
80/269: Actual=1, Pred=1, OK=True
81/269: Actual=1, Pred=1, OK=True
82/269: Actual=2, Pred=1, OK=False
83/269: Actual=1, Pred=1, OK=True
84/269: Actual=2, Pred=1, OK=False
85/269: Actual=2, Pred=1, OK=False
86/269: Actual=1, Pred=1, OK=True
87/269: Actual=1, Pred=1, OK=True
88/269: Actual=1, Pred=1, OK=True
89/269: Actual=1, Pred=1, OK=True
90/269: Actual=1, Pred=1, OK=True
91/269: Actual=2, Pred=1, OK=False
92/269: Actual=1, Pred=1, OK=True
93/269: Actual=2, Pred=1, OK=False
94/269: Actual=1, Pred=1, OK=True
95/269: Actual=1, Pred=1, OK=True
96/269: Actual=1, Pred=1, OK=True
97/269: Actual=1, Pred=1, OK=True
98/269: Actual=1, Pred=1, OK=True
99/269: Actual=1, Pred=1, OK=True
100/269: Actual=2, Pred=1, OK=False
101/269: Actual=1, Pred=1, OK=True
102/269: Actual=2, Pred=1, OK=False
103/269: Actual=1, Pred=1, OK=True
104/269: Actual=1, Pred=1, OK=True
105/269: Actual=2, Pred=1, OK=False
106/269: Actual=1, Pred=1, OK=True
107/269: Actual=1, Pred=1, OK=True
108/269: Actual=1, Pred=1, OK=True
109/269: Actual=1, Pred=1, OK=True
110/269: Actual=1, Pred=1, OK=True
111/269: Actual=2, Pred=1, OK=False
112/269: Actual=2, Pred=1, OK=False
113/269: Actual=1, Pred=1, OK=True
114/269: Actual=1, Pred=1, OK=True
115/269: Actual=1, Pred=1, OK=True
116/269: Actual=2, Pred=1, OK=False
117/269: Actual=1, Pred=1, OK=True
118/269: Actual=2, Pred=1, OK=False
119/269: Actual=2, Pred=1, OK=False
120/269: Actual=1, Pred=1, OK=True
121/269: Actual=1, Pred=1, OK=True
122/269: Actual=1, Pred=1, OK=True
123/269: Actual=1, Pred=1, OK=True
124/269: Actual=1, Pred=1, OK=True
125/269: Actual=1, Pred=1, OK=True
126/269: Actual=2, Pred=1, OK=False
127/269: Actual=1, Pred=1, OK=True
128/269: Actual=1, Pred=1, OK=True
129/269: Actual=1, Pred=1, OK=True
130/269: Actual=2, Pred=1, OK=False
131/269: Actual=1, Pred=1, OK=True
132/269: Actual=1, Pred=1, OK=True
133/269: Actual=1, Pred=1, OK=True
134/269: Actual=1, Pred=1, OK=True
135/269: Actual=1, Pred=1, OK=True
136/269: Actual=2, Pred=1, OK=False
137/269: Actual=1, Pred=1, OK=True
138/269: Actual=2, Pred=1, OK=False
139/269: Actual=1, Pred=1, OK=True
140/269: Actual=1, Pred=1, OK=True
141/269: Actual=2, Pred=1, OK=False
142/269: Actual=1, Pred=1, OK=True
143/269: Actual=1, Pred=1, OK=True
144/269: Actual=1, Pred=1, OK=True
145/269: Actual=1, Pred=1, OK=True
146/269: Actual=1, Pred=1, OK=True
147/269: Actual=2, Pred=1, OK=False
148/269: Actual=1, Pred=1, OK=True
149/269: Actual=2, Pred=1, OK=False
150/269: Actual=1, Pred=1, OK=True
151/269: Actual=1, Pred=1, OK=True
152/269: Actual=1, Pred=1, OK=True
153/269: Actual=1, Pred=1, OK=True
154/269: Actual=1, Pred=1, OK=True
155/269: Actual=1, Pred=1, OK=True
156/269: Actual=1, Pred=1, OK=True
157/269: Actual=2, Pred=1, OK=False
158/269: Actual=1, Pred=1, OK=True
159/269: Actual=1, Pred=1, OK=True
160/269: Actual=1, Pred=1, OK=True
161/269: Actual=1, Pred=1, OK=True
162/269: Actual=1, Pred=1, OK=True
163/269: Actual=2, Pred=1, OK=False
164/269: Actual=1, Pred=1, OK=True
165/269: Actual=1, Pred=1, OK=True
166/269: Actual=1, Pred=1, OK=True
167/269: Actual=1, Pred=1, OK=True
168/269: Actual=1, Pred=1, OK=True
169/269: Actual=1, Pred=1, OK=True
170/269: Actual=1, Pred=1, OK=True
171/269: Actual=1, Pred=1, OK=True
172/269: Actual=1, Pred=1, OK=True
173/269: Actual=1, Pred=1, OK=True
174/269: Actual=1, Pred=1, OK=True
175/269: Actual=1, Pred=1, OK=True
176/269: Actual=1, Pred=1, OK=True
177/269: Actual=1, Pred=1, OK=True
178/269: Actual=1, Pred=1, OK=True
179/269: Actual=1, Pred=1, OK=True
180/269: Actual=1, Pred=1, OK=True
181/269: Actual=1, Pred=1, OK=True
182/269: Actual=2, Pred=1, OK=False
183/269: Actual=2, Pred=1, OK=False
184/269: Actual=2, Pred=1, OK=False
185/269: Actual=1, Pred=1, OK=True
186/269: Actual=1, Pred=1, OK=True
187/269: Actual=2, Pred=1, OK=False
188/269: Actual=1, Pred=1, OK=True
189/269: Actual=1, Pred=1, OK=True
190/269: Actual=1, Pred=1, OK=True
191/269: Actual=1, Pred=1, OK=True
192/269: Actual=1, Pred=1, OK=True
193/269: Actual=1, Pred=1, OK=True
194/269: Actual=1, Pred=1, OK=True
195/269: Actual=1, Pred=1, OK=True
196/269: Actual=2, Pred=1, OK=False
197/269: Actual=1, Pred=1, OK=True
198/269: Actual=1, Pred=1, OK=True
199/269: Actual=1, Pred=1, OK=True
200/269: Actual=1, Pred=1, OK=True
201/269: Actual=1, Pred=1, OK=True
202/269: Actual=1, Pred=1, OK=True
203/269: Actual=1, Pred=1, OK=True
204/269: Actual=1, Pred=1, OK=True
205/269: Actual=1, Pred=1, OK=True
206/269: Actual=1, Pred=1, OK=True
207/269: Actual=1, Pred=1, OK=True
208/269: Actual=1, Pred=1, OK=True
209/269: Actual=1, Pred=1, OK=True
210/269: Actual=1, Pred=1, OK=True
211/269: Actual=1, Pred=1, OK=True
212/269: Actual=1, Pred=1, OK=True
213/269: Actual=1, Pred=1, OK=True
214/269: Actual=1, Pred=1, OK=True
215/269: Actual=2, Pred=1, OK=False
216/269: Actual=1, Pred=1, OK=True
217/269: Actual=1, Pred=1, OK=True
218/269: Actual=1, Pred=1, OK=True
219/269: Actual=1, Pred=1, OK=True
220/269: Actual=1, Pred=1, OK=True
221/269: Actual=2, Pred=1, OK=False
222/269: Actual=1, Pred=1, OK=True
223/269: Actual=1, Pred=1, OK=True
224/269: Actual=1, Pred=1, OK=True
225/269: Actual=2, Pred=1, OK=False
226/269: Actual=1, Pred=1, OK=True
227/269: Actual=1, Pred=1, OK=True
228/269: Actual=1, Pred=1, OK=True
229/269: Actual=2, Pred=1, OK=False
230/269: Actual=1, Pred=1, OK=True
231/269: Actual=2, Pred=1, OK=False
232/269: Actual=1, Pred=1, OK=True
233/269: Actual=1, Pred=1, OK=True
234/269: Actual=1, Pred=1, OK=True
235/269: Actual=1, Pred=1, OK=True
236/269: Actual=2, Pred=1, OK=False
237/269: Actual=1, Pred=1, OK=True
238/269: Actual=1, Pred=1, OK=True
239/269: Actual=1, Pred=1, OK=True
240/269: Actual=1, Pred=1, OK=True
241/269: Actual=1, Pred=1, OK=True
242/269: Actual=1, Pred=1, OK=True
243/269: Actual=1, Pred=1, OK=True
244/269: Actual=1, Pred=1, OK=True
245/269: Actual=2, Pred=1, OK=False
246/269: Actual=2, Pred=1, OK=False
247/269: Actual=1, Pred=1, OK=True
248/269: Actual=1, Pred=1, OK=True
249/269: Actual=1, Pred=1, OK=True
250/269: Actual=1, Pred=1, OK=True
251/269: Actual=2, Pred=1, OK=False
252/269: Actual=1, Pred=1, OK=True
253/269: Actual=2, Pred=1, OK=False
254/269: Actual=1, Pred=1, OK=True
255/269: Actual=1, Pred=1, OK=True
256/269: Actual=1, Pred=1, OK=True
257/269: Actual=1, Pred=1, OK=True
258/269: Actual=1, Pred=1, OK=True
259/269: Actual=1, Pred=1, OK=True
260/269: Actual=1, Pred=1, OK=True
261/269: Actual=1, Pred=1, OK=True
262/269: Actual=1, Pred=1, OK=True
263/269: Actual=1, Pred=1, OK=True
264/269: Actual=1, Pred=1, OK=True
265/269: Actual=1, Pred=1, OK=True
266/269: Actual=1, Pred=1, OK=True
267/269: Actual=1, Pred=1, OK=True
268/269: Actual=2, Pred=1, OK=False
269/269: Actual=1, Pred=1, OK=True
